experiment,station,dist_km,Feature_Set,Model,fold,CV_AUC
main,krabi,65,F1,LR,2,0.7652
main,krabi,65,F1,LR,3,0.7735
main,krabi,65,F1,LR,4,0.765
main,krabi,65,F1,SVM,0,0.7612
main,krabi,65,F1,SVM,1,0.7189
main,krabi,65,F1,SVM,2,0.7496
main,krabi,65,F1,SVM,3,0.7349
main,krabi,65,F1,SVM,4,0.727
main,krabi,65,F1,RF,0,0.7855
main,krabi,65,F1,RF,1,0.7189
main,krabi,65,F1,RF,2,0.763
main,krabi,65,F1,RF,3,0.7403
main,krabi,65,F1,RF,4,0.7432
main,krabi,65,F1,XGB,0,0.7712
main,krabi,65,F1,XGB,1,0.7555
main,krabi,65,F1,XGB,2,0.7414
main,krabi,65,F1,XGB,3,0.7379
main,krabi,65,F1,XGB,4,0.689
main,krabi,65,F1,MLP,0,0.7765
main,krabi,65,F1,MLP,1,0.7027
main,krabi,65,F1,MLP,2,0.7374
main,krabi,65,F1,MLP,3,0.7147
main,krabi,65,F1,MLP,4,0.7421
main,krabi,65,F2,Climatological,0,0.5544
main,krabi,65,F2,Climatological,1,0.6205
main,krabi,65,F2,Climatological,2,0.6474
main,krabi,65,F2,Climatological,3,0.5171
main,krabi,65,F2,Climatological,4,0.5813
main,krabi,65,F2,LR,0,0.8325
main,krabi,65,F2,LR,1,0.7444
main,krabi,65,F2,LR,2,0.7742
main,krabi,65,F2,LR,3,0.7801
main,krabi,65,F2,LR,4,0.7897
main,krabi,65,F2,SVM,0,0.7548
main,krabi,65,F2,SVM,1,0.7062
main,krabi,65,F2,SVM,2,0.7786
main,krabi,65,F2,SVM,3,0.7546
main,krabi,65,F2,SVM,4,0.7329
main,krabi,65,F2,RF,0,0.7894
main,krabi,65,F2,RF,1,0.7237
main,krabi,65,F2,RF,2,0.7703
main,krabi,65,F2,RF,3,0.732
main,krabi,65,F2,RF,4,0.7357
main,krabi,65,F2,XGB,0,0.7789
main,krabi,65,F2,XGB,1,0.7386
main,krabi,65,F2,XGB,2,0.7643
main,krabi,65,F2,XGB,3,0.7142
main,krabi,65,F2,XGB,4,0.7027
main,krabi,65,F2,MLP,0,0.7741
main,krabi,65,F2,MLP,1,0.7176
main,krabi,65,F2,MLP,2,0.7632
main,krabi,65,F2,MLP,3,0.716
main,krabi,65,F2,MLP,4,0.7375
main,krabi,65,F3,Climatological,0,0.5544
main,krabi,65,F3,Climatological,1,0.6205
main,krabi,65,F3,Climatological,2,0.6474
main,krabi,65,F3,Climatological,3,0.5171
main,krabi,65,F3,Climatological,4,0.5813
main,krabi,65,F3,LR,0,0.7842
main,krabi,65,F3,LR,1,0.7536
main,krabi,65,F3,LR,2,0.7542
main,krabi,65,F3,LR,3,0.7827
main,krabi,65,F3,LR,4,0.7687
main,krabi,65,F3,SVM,0,0.7637
main,krabi,65,F3,SVM,1,0.6722
main,krabi,65,F3,SVM,2,0.7154
main,krabi,65,F3,SVM,3,0.7406
main,krabi,65,F3,SVM,4,0.7199
main,krabi,65,F3,RF,0,0.791
main,krabi,65,F3,RF,1,0.71
main,krabi,65,F3,RF,2,0.7468
main,krabi,65,F3,RF,3,0.7171
main,krabi,65,F3,RF,4,0.7396
main,krabi,65,F3,XGB,0,0.7889
main,krabi,65,F3,XGB,1,0.7189
main,krabi,65,F3,XGB,2,0.7539
main,krabi,65,F3,XGB,3,0.7155
main,krabi,65,F3,XGB,4,0.7036
main,krabi,65,F3,MLP,0,0.7908
main,krabi,65,F3,MLP,1,0.6652
main,krabi,65,F3,MLP,2,0.6797
main,krabi,65,F3,MLP,3,0.6488
main,krabi,65,F3,MLP,4,0.7366
main,krabi,65,F4,Climatological,0,0.5544
main,krabi,65,F4,Climatological,1,0.6205
main,krabi,65,F4,Climatological,2,0.6474
main,krabi,65,F4,Climatological,3,0.5171
main,krabi,65,F4,Climatological,4,0.5813
main,krabi,65,F4,LR,0,0.819
main,krabi,65,F4,LR,1,0.7383
main,krabi,65,F4,LR,2,0.7701
main,krabi,65,F4,LR,3,0.7695
main,krabi,65,F4,LR,4,0.7884
main,krabi,65,F4,SVM,0,0.7691
